,SCINAME,COMNAME,SVSPP,CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,STATYPE,HAUL,GEARCOND,SHG,TYPE_CODE,TYPE_COMMENT,OPERATION_CODE,OPERATION_COMMENT,GEAR_CODE,GEAR_COMMENT,ACQUISITION_CODE,ACQUISITION_COMMENT,TOGA,AREA,SVVESSEL,CRUNUM,SVGEAR,BEGIN_EST_TOWDATE,BEING_EST_TOWDATE,BEGIN_GMT_TOWDATE,BEGIN_GMT_TOWDATE_1,EST_YEAR,EST_MONTH,EST_DAY,EST_JULIAN_DAY,EST_TIME,GMT_YEAR,GMT_MONTH,GMT_DAY,GMT_JULIAN_DAY,GMT_TIME,TOWDUR,SETDEPTH,ENDDEPTH,MINDEPTH,MAXDEPTH,AVGDEPTH,BEGEKVLOG,ENDEKVLOG,BEGLAT,BEGLON,ENDLAT,ENDLON,DECDEG_BEGLAT,DECDEG_BEGLON,DECDEG_ENDLAT,DECDEG_ENDLON,LORS1,LORE1,LORS2,LORE2,CABLE,PITCH,HEADING,COURSE,RPM,DOPDISTB,DOPDISTW,DESSPEED,GEARID,DOORID,OTHGEAR,AIRTEMP,CLOUD,BAROPRESS,WINDDIR,WINDSP,WEATHER,WAVEHGT,SWELLDIR,SWELLHGT,BKTTEMP,TRASHAMT,TRASHSHL,TRASHBIO,TRASHSUB,XBT,SURFTEMP,SURFSALIN,BOTTEMP,BOTSALIN,FULD,NO_DETAIL_SVSPP,BOTSPEED,WATCH_CHIEF_COMMENTS,STATION_COMMENTS,HABITAT_COMMENTS,EXPCATCHNUM,EXPCATCHWT,SCIENTIFIC_NAME
26,ALOSA PSEUDOHARENGUS,ALEWIFE,33,202304.0,202304.0,01260,3.0,251.0,10.0,202304012600030251,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/21/2023 13:36:29,10/21/2023 13:56:41,10/21/2023 18:36:29,10/21/2023 18:56:41,2023.0,10.0,21.0,2460239.0,13:36:29,2023.0,10.0,21.0,2460239.0,18:36:29,20.19,137.0,144.0,137.0,146.0,143.0,,,4214.78,7004.23,4214.87,7002.9,42.246333,-70.0705,42.247833,-70.048333, , , , ,,,79.4,85.0,,1.044,,, , , ,,,,52.2,24.7,,,,,,,,,, ,,,,,,,3.1,,,,37.0,5.443,Alosa pseudoharengus (alewife)
27,ALOSA PSEUDOHARENGUS,ALEWIFE,33,202304.0,202304.0,01260,1.0,253.0,10.0,202304012600010253,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/22/2023 10:34:34,10/22/2023 10:54:36,10/22/2023 15:34:34,10/22/2023 15:54:36,2023.0,10.0,22.0,2460240.0,10:34:34,2023.0,10.0,22.0,2460240.0,15:34:34,20.02,86.0,87.0,86.0,88.0,87.0,,,4222.78,7028.36,4222.81,7029.7,42.379667,-70.472667,42.380167,-70.495, , , , ,,,282.0,278.0,,1.038,,, , , ,,,,254.2,19.3,,,,,,,,,, ,14.38,31.096,9.4,32.013,,,3.1,,,,4.0,0.77,Alosa pseudoharengus (alewife)
28,ALOSA PSEUDOHARENGUS,ALEWIFE,33,202304.0,202304.0,01260,6.0,254.0,10.0,202304012600060254,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,514.0,HB,4.0,10.0,10/22/2023 12:47:52,10/22/2023 13:07:52,10/22/2023 17:47:52,10/22/2023 18:07:52,2023.0,10.0,22.0,2460240.0,12:47:52,2023.0,10.0,22.0,2460240.0,17:47:52,20.01,87.0,85.0,84.0,87.0,86.0,,,4217.63,7026.98,4217.65,7028.31,42.293833,-70.449667,42.294167,-70.471833, , , , ,,,274.6,260.0,,0.997,,, , , ,,,,275.7,23.1,,,,,,,,,, ,14.44,31.101,9.69,32.044,,,3.0,,,,451.0,80.616,Alosa pseudoharengus (alewife)
29,ALOSA PSEUDOHARENGUS,ALEWIFE,33,202304.0,202304.0,03660,2.0,255.0,10.0,202304036600020255,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/22/2023 16:45:47,10/22/2023 17:05:49,10/22/2023 21:45:47,10/22/2023 22:05:49,2023.0,10.0,22.0,2460240.0,16:45:47,2023.0,10.0,22.0,2460240.0,21:45:47,20.04,60.0,60.0,60.0,61.0,60.0,,,4213.8,7031.6,4214.64,7032.38,42.23,-70.526667,42.244,-70.539667, , , , ,,,319.1,322.0,,1.128,,, , , ,,,,303.4,22.1,,,,,,,,,, ,14.4,31.08,10.44,32.059,,,3.4,,stream 2135,,22.0,3.98,Alosa pseudoharengus (alewife)
30,ALOSA PSEUDOHARENGUS,ALEWIFE,33,202304.0,202304.0,03600,3.0,260.0,10.0,202304036000030260,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/23/2023 11:52:20,10/23/2023 12:12:22,10/23/2023 16:52:20,10/23/2023 17:12:22,2023.0,10.0,23.0,2460241.0,11:52:20,2023.0,10.0,23.0,2460241.0,16:52:20,20.04,31.0,34.0,31.0,34.0,33.0,,,4152.8,7022.67,4153.78,7022.78,41.88,-70.377833,41.896333,-70.379667, , , , ,,,351.0,352.0,,1.002,,, , , ,,,,338.8,14.0,,,,,,,,,, ,15.19,30.86,15.17,30.862,,,3.0,,,,1.0,0.029,Alosa pseudoharengus (alewife)
31,ALOSA PSEUDOHARENGUS,ALEWIFE,33,202304.0,202304.0,03590,1.0,261.0,10.0,202304035900010261,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,514.0,HB,4.0,10.0,10/23/2023 13:21:50,10/23/2023 13:41:51,10/23/2023 18:21:50,10/23/2023 18:41:51,2023.0,10.0,23.0,2460241.0,13:21:50,2023.0,10.0,23.0,2460241.0,18:21:50,20.02,27.0,29.0,26.0,29.0,28.0,,,4150.43,7022.51,4151.39,7022.62,41.8405,-70.375167,41.8565,-70.377, , , , ,,,356.9,356.0,,0.992,,, , , ,,,,326.8,10.6,,,,,,,,,, ,15.35,30.905,15.31,30.905,,,3.0,,,,1.0,0.032,Alosa pseudoharengus (alewife)
32,ALOSA PSEUDOHARENGUS,ALEWIFE,33,202304.0,202304.0,03450,3.0,262.0,10.0,202304034500030262,1.0,3.0,6.0,136.0,1.0,"RANDOM, within 1nm radius",2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",2.0,Obstruction in/on gear not significant,1.0,No Data Acq. Errors,1221.0,539.0,HB,4.0,10.0,10/23/2023 20:35:34,10/23/2023 20:55:38,10/24/2023 01:35:34,10/24/2023 01:55:38,2023.0,10.0,23.0,2460241.0,20:35:34,2023.0,10.0,24.0,2460242.0,01:35:34,20.06,33.0,32.0,32.0,34.0,33.0,,,4123.9,7119.27,4124.86,7118.85,41.398333,-71.321167,41.414333,-71.314167, , , , ,,,18.7,23.0,,1.093,,, , , ,,,,352.3,11.2,,,,,,,,,, ,15.95,31.388,15.82,31.701,,,3.3,,,,38.0,1.702,Alosa pseudoharengus (alewife)
33,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01050,2.0,132.0,10.0,202304010500020132,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,537.0,HB,4.0,10.0,10/06/2023 08:37:59,10/06/2023 08:57:57,10/06/2023 13:37:59,10/06/2023 13:57:57,2023.0,10.0,6.0,2460224.0,08:37:59,2023.0,10.0,6.0,2460224.0,13:37:59,19.95,55.0,56.0,55.0,57.0,56.0,,,4055.93,7116.79,4054.98,7116.52,40.932167,-71.279833,40.916333,-71.275333, , , , ,,,160.5,163.0,,1.051,,, , , ,,,,103.5,12.3,,,,,,,,,, ,16.61,32.017,13.54,32.257,,,3.2,,,,8.0,1.132,Alosa sapidissima (American shad)
34,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01030,3.0,177.0,10.0,202304010300030177,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",3.0,"WS StdDev High; HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1311.0,616.0,HB,4.0,10.0,10/11/2023 09:26:12,10/11/2023 09:46:09,10/11/2023 14:26:12,10/11/2023 14:46:09,2023.0,10.0,11.0,2460229.0,09:26:12,2023.0,10.0,11.0,2460229.0,14:26:12,19.95,159.0,161.0,159.0,161.0,160.0,,,3952.61,7148.53,3951.99,7149.58,39.876833,-71.808833,39.8665,-71.826333, , , , ,,,234.2,235.0,,1.124,,, , , ,,,,137.5,6.7,,,,,,,,,, ,16.86,32.446,13.14,35.44,,,3.4,,,,34.0,6.84,Alosa sapidissima (American shad)
35,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01020,3.0,178.0,10.0,202304010200030178,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,616.0,HB,4.0,10.0,10/11/2023 11:28:00,10/11/2023 11:48:01,10/11/2023 16:28:00,10/11/2023 16:48:01,2023.0,10.0,11.0,2460229.0,11:28:00,2023.0,10.0,11.0,2460229.0,16:28:00,20.02,97.0,93.0,93.0,97.0,95.0,,,3959.1,7148.91,3959.73,7149.94,39.985,-71.815167,39.9955,-71.832333, , , , ,,,298.2,296.0,,1.154,,, , , ,,,,156.1,6.9,,,,,,,,,, ,17.19,32.551,11.9,34.316,,,3.5,,,,1.0,0.136,Alosa sapidissima (American shad)
36,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01070,4.0,186.0,10.0,202304010700040186,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,537.0,HB,4.0,10.0,10/12/2023 07:33:23,10/12/2023 07:53:21,10/12/2023 12:33:23,10/12/2023 12:53:21,2023.0,10.0,12.0,2460230.0,07:33:23,2023.0,10.0,12.0,2460230.0,12:33:23,19.96,144.0,144.0,143.0,144.0,144.0,,,4006.19,7051.03,4005.59,7049.98,40.103167,-70.8505,40.093167,-70.833, , , , ,,,123.0,134.0,,1.139,,, , , ,,,,66.6,5.0,,,,,,,,,, ,15.46,31.926,13.05,35.303,,,3.4,,Stream net 1220,,3.0,0.491,Alosa sapidissima (American shad)
37,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01110,4.0,189.0,10.0,202304011100040189,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,537.0,HB,4.0,10.0,10/12/2023 14:05:58,10/12/2023 14:26:01,10/12/2023 19:05:58,10/12/2023 19:26:01,2023.0,10.0,12.0,2460230.0,14:05:58,2023.0,10.0,12.0,2460230.0,19:05:58,20.05,165.0,167.0,165.0,167.0,166.0,,,4004.95,7026.37,4004.83,7025.09,40.0825,-70.4395,40.0805,-70.418167, , , , ,,,87.5,89.0,,1.047,,, , , ,,,,337.4,0.4,,,,,,,,,, ,15.63,31.806,11.87,34.988,,,3.1,,,,31.0,5.482,Alosa sapidissima (American shad)
38,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01120,3.0,190.0,10.0,202304011200030190,1.0,1.0,1.0,111.0,1.0,"RANDOM,outside 1nm within 3nm",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,537.0,HB,4.0,10.0,10/12/2023 16:56:59,10/12/2023 17:17:15,10/12/2023 21:56:59,10/12/2023 22:17:15,2023.0,10.0,12.0,2460230.0,16:56:59,2023.0,10.0,12.0,2460230.0,21:56:59,20.28,287.0,277.0,275.0,287.0,279.0,,,3959.42,7023.53,3959.53,7022.19,39.990333,-70.392167,39.992167,-70.369833, , , , ,,,80.2,76.0,,1.072,,, , , ,,,,106.3,1.2,,,,,,,,,, ,15.49,31.645,9.75,35.248,,,3.2,,,,1.0,0.155,Alosa sapidissima (American shad)
39,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01260,3.0,251.0,10.0,202304012600030251,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",1.0,No damage/malfunction,1.0,No Data Acq. Errors,1211.0,514.0,HB,4.0,10.0,10/21/2023 13:36:29,10/21/2023 13:56:41,10/21/2023 18:36:29,10/21/2023 18:56:41,2023.0,10.0,21.0,2460239.0,13:36:29,2023.0,10.0,21.0,2460239.0,18:36:29,20.19,137.0,144.0,137.0,146.0,143.0,,,4214.78,7004.23,4214.87,7002.9,42.246333,-70.0705,42.247833,-70.048333, , , , ,,,79.4,85.0,,1.044,,, , , ,,,,52.2,24.7,,,,,,,,,, ,,,,,,,3.1,,,,2.0,0.313,Alosa sapidissima (American shad)
40,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01260,6.0,254.0,10.0,202304012600060254,1.0,1.0,1.0,111.0,1.0,"RANDOM, within 1nm radius",1.0,GOOD PERFORMANCE,1.0,No damage/malfunction,1.0,No Data Acq. Errors,1111.0,514.0,HB,4.0,10.0,10/22/2023 12:47:52,10/22/2023 13:07:52,10/22/2023 17:47:52,10/22/2023 18:07:52,2023.0,10.0,22.0,2460240.0,12:47:52,2023.0,10.0,22.0,2460240.0,17:47:52,20.01,87.0,85.0,84.0,87.0,86.0,,,4217.63,7026.98,4217.65,7028.31,42.293833,-70.449667,42.294167,-70.471833, , , , ,,,274.6,260.0,,0.997,,, , , ,,,,275.7,23.1,,,,,,,,,, ,14.44,31.101,9.69,32.044,,,3.0,,,,4.0,0.569,Alosa sapidissima (American shad)
41,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,03450,3.0,262.0,10.0,202304034500030262,1.0,3.0,6.0,136.0,1.0,"RANDOM, within 1nm radius",2.0,"DSmean outside opt, within tol; HGTmean outsde opt, within tol",2.0,Obstruction in/on gear not significant,1.0,No Data Acq. Errors,1221.0,539.0,HB,4.0,10.0,10/23/2023 20:35:34,10/23/2023 20:55:38,10/24/2023 01:35:34,10/24/2023 01:55:38,2023.0,10.0,23.0,2460241.0,20:35:34,2023.0,10.0,24.0,2460242.0,01:35:34,20.06,33.0,32.0,32.0,34.0,33.0,,,4123.9,7119.27,4124.86,7118.85,41.398333,-71.321167,41.414333,-71.314167, , , , ,,,18.7,23.0,,1.093,,, , , ,,,,352.3,11.2,,,,,,,,,, ,15.95,31.388,15.82,31.701,,,3.3,,,,1.0,0.064,Alosa sapidissima (American shad)
42,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,03460,3.0,264.0,10.0,202304034600030264,1.0,2.0,2.0,122.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",2.0,"Minor, small holes or tears in webbing",1.0,No Data Acq. Errors,1221.0,537.0,HB,4.0,10.0,10/30/2023 19:51:31,10/30/2023 20:11:30,10/31/2023 00:51:31,10/31/2023 01:11:30,2023.0,10.0,30.0,2460248.0,19:51:31,2023.0,10.0,31.0,2460249.0,00:51:31,20.0,27.0,27.0,26.0,28.0,27.0,,,4116.29,7036.4,4115.59,7037.35,41.2715,-70.606667,41.259833,-70.6225, , , , ,,,219.9,219.0,,1.13,,, , , ,,,,332.4,12.8,,,,,,,,,, ,15.52,31.197,15.52,31.202,,,3.4,,,,1.0,0.159,Alosa sapidissima (American shad)
43,ALOSA SAPIDISSIMA,AMERICAN SHAD,35,202304.0,202304.0,01090,3.0,265.0,10.0,202304010900030265,1.0,3.0,6.0,136.0,1.0,"RANDOM, within 1nm radius",2.0,"HGTmean outsde opt, within tol",2.0,Obstruction in/on gear not significant,1.0,No Data Acq. Errors,1221.0,537.0,HB,4.0,10.0,10/30/2023 21:48:42,10/30/2023 22:08:46,10/31/2023 02:48:42,10/31/2023 03:08:46,2023.0,10.0,30.0,2460248.0,21:48:42,2023.0,10.0,31.0,2460249.0,02:48:42,20.06,36.0,35.0,35.0,38.0,37.0,,,4108.72,7025.21,4109.42,7026.15,41.145333,-70.420167,41.157,-70.435833, , , , ,,,319.9,318.0,,1.139,,, , , ,,,,336.3,14.1,,,,,,,,,, ,15.55,31.357,15.56,31.436,,,3.4,,,,2.0,0.255,Alosa sapidissima (American shad)
